x-axis,1,2,3
second,Volt,Volt,Volt
+28.800E-03,+2.593750E+00,+2.112500E+00,+2.268750E+00
+28.900E-03,+2.875000E+00,+2.425000E+00,+2.612500E+00
+29.000E-03,+3.093750E+00,+2.706250E+00,+2.925000E+00
+29.100E-03,+3.281250E+00,+3.050000E+00,+3.237500E+00
+29.200E-03,+3.312500E+00,+3.300000E+00,+3.425000E+00
+29.300E-03,+3.312500E+00,+3.456250E+00,+3.581250E+00
+29.400E-03,+3.281250E+00,+3.581250E+00,+3.612500E+00
+29.500E-03,+3.125000E+00,+3.581250E+00,+3.550000E+00
+29.600E-03,+2.875000E+00,+3.487500E+00,+3.362500E+00
+29.700E-03,+2.656250E+00,+3.268750E+00,+3.112500E+00
+29.800E-03,+2.312500E+00,+2.987500E+00,+2.800000E+00
+29.900E-03,+2.062500E+00,+2.675000E+00,+2.425000E+00
+30.000E-03,+1.812500E+00,+2.300000E+00,+2.081250E+00
+30.100E-03,+1.625000E+00,+1.893750E+00,+1.737500E+00
+30.200E-03,+1.500000E+00,+1.643750E+00,+1.487500E+00
+30.300E-03,+1.500000E+00,+1.425000E+00,+1.300000E+00
+30.400E-03,+1.593750E+00,+1.268750E+00,+1.268750E+00
+30.500E-03,+1.750000E+00,+1.268750E+00,+1.300000E+00
+30.600E-03,+2.000000E+00,+1.393750E+00,+1.518750E+00
+30.700E-03,+2.281250E+00,+1.643750E+00,+1.768750E+00
+30.800E-03,+2.593750E+00,+1.925000E+00,+2.112500E+00
+30.900E-03,+2.937500E+00,+2.300000E+00,+2.581250E+00
+31.000E-03,+3.093750E+00,+2.643750E+00,+2.925000E+00
+31.100E-03,+3.281250E+00,+3.050000E+00,+3.268750E+00
+31.200E-03,+3.375000E+00,+3.362500E+00,+3.518750E+00
+31.300E-03,+3.312500E+00,+3.550000E+00,+3.612500E+00
+31.400E-03,+3.125000E+00,+3.643750E+00,+3.643750E+00
+31.500E-03,+2.906250E+00,+3.581250E+00,+3.487500E+00
+31.600E-03,+2.625000E+00,+3.393750E+00,+3.268750E+00
+31.700E-03,+2.250000E+00,+3.081250E+00,+2.862500E+00
+31.800E-03,+1.906250E+00,+2.675000E+00,+2.425000E+00
